BatchID;Strasse;Gesamtmenge Wirkstoff in kg;pH - Wert nach beendeter Regelung;Füllstand B4210 nach pH - Wert - Einstellung in L;Füllstand B4220 nach Transfer Lösung in L;pH - Wert nach beendeter Regelung Zitratpuffer;B4210 Standzeit Gereinigt in h;Druck während Isolierung in bar;Waschvolumen Zitratpuffer in L/kg;Netto Masse Kristallisat ohne GWP in g;Brutto Masse Kristallisat A4920/21/28 mit GWP in g;Netto Masse Kristallisat A4920/21/28  mit GWP in g;Füllstand B4210 vor Spülung in L;Füllstand B4210 nach Spülung in L;Füllstand B4210 nach Zitratwäsche in L;eingesetztes Waschvolumen Zitratpuffer in L;F4300 Standzeit sterilisiert in h;Trypsin Klasse;Füllstand B4220 nach pH - Wert - Einstellung in L;pH - Wert B4220 Start Kristallisation;pH - Wert B4220 Ende Kristallisation;Temperatur B4220 Start Kristallisation in °C;Temperatur B4220 Ende Kristallisation in °C;Mittelwert UV - Kurve;Rührerdrehzahl B4220 in U/min;Füllstand B4220 Ende Kristallisation in L;Filtrationsverhalten;pH-Wert Regelung Dauer [min];pH-Wert Regelung Dauer [min/kg];Dauer Lösen [min];Dauer Lösen [min/kg];Dauer bis Kristallisation einsetzt [min];Dauer bis Kristallisation einsetzt [min/kg];Kristallisation Dauer [min];Kristallisation Dauer [min/kg];Verweildauer kristallisiert bis Start Abtrennung [min];Verweildauer kristallisiert bis Start Abtrennung [min/kg];Abtrenndauer ohne Nachwaschen [min];Abtrenndauer ohne Nachwaschen [min/kg];Waschdauer mit Zitratpuffer [min];Waschdauer mit Zitratpuffer [min/kg];Gesamtdauer Start Lösen - Ende Waschen [min];Gesamtdauer Start Lösen - Ende Waschen [min/kg];ZnCl2 Konzentration [mM/L];NaCl Konzentration [mM/L];CTS Konzentration [mM/L];Ammoniumsulfat Konzentrazion [mM/L];Propanol-Konzentration in %;Produktüberführen Dauer [min];Produktüberführen Dauer [min/kg];Gesamte Abtrenndauer [min];Gesamte Abtrenndauer [min/kg]
GP220709C03;C;13,4;3,03;1021,0;1018,0;6,19;27,0;0,92;20,5;26562,0;45290,0;35248,0;420,0;361,0;87,0;274,0;33,0;Trypsin 4.0;1076,0;6,14;6,02;26,0;26,0;84,0;50,0;1080,0;147,0;25;1,87;184;13,73;10;0,75;1181;88,13;3;0,22;56;4,18;127;9,48;1586;118,36;2,73;6,21;4,75;9,14;5,92;0;0,0;183;13,66
GP220710A03;A;13,3;3,04;1004,0;998,0;6,22;28,0;0,94;20,5;27247,0;45030,0;34988,0;407,0;349,0;76,0;273,0;32,0;Trypsin 4.0;1069,0;6,18;6,06;26,0;26,2;80,0;50,5;1070,0;137,0;30;2,26;182;13,68;23;1,73;1173;88,2;3;0,23;53;3,98;124;9,32;1588;119,4;2,73;6,24;4,75;9,13;5,89;0;0,0;177;13,31
GP220710B02;B;17,6;3,03;1316,0;1281,0;6,22;28,0;0,94;20,3;34741,0;56440,0;46306,0;475,0;417,0;59,0;358,0;32,0;Trypsin 4.0;1348,0;6,17;6,04;26,1;25,9;99,0;51,0;1346,0;108,0;32;1,82;204;11,59;7;0,4;1169;66,42;3;0,17;87;4,94;150;8,52;1652;93,86;2,91;6,53;5,0;9,61;6,2;0;0,0;237;13,47
GP220710C01;C;18,0;3,03;1347,0;1346,0;6,21;7,0;0,95;20,4;35680,0;57519,0;47352,0;477,0;418,0;51,0;368,0;32,0;Trypsin 4.0;1405,0;6,15;6,01;26,1;25,9;80,0;50,0;1413,0;67,0;31;1,72;193;10,72;21;1,17;1169;64,94;3;0,17;87;4,83;158;8,78;1662;92,33;2,81;6,38;4,87;9,39;6,05;0;0,0;245;13,61
GP220711A01;A;13,3;3,02;1005,0;998,0;6,21;35,0;0,93;20,5;27331,0;45021,0;34978,0;412,0;354,0;81,0;272,0;44,0;Trypsin 4.0;1071,0;6,17;6,05;26,0;25,9;82,0;50,0;1068,0;125,0;25;1,88;138;10,38;8;0,6;1160;87,22;3;0,23;55;4,14;122;9,17;1511;113,61;2,74;6,25;4,77;9,16;5,9;0;0,0;177;13,31
GP220711B02;B;17,7;3,03;1327,0;1299,0;6,19;36,0;0,94;20,3;35437,0;56712,0;46550,0;477,0;420,0;59,0;360,0;42,0;Trypsin 4.0;1367,0;6,17;6,06;26,0;25,9;98,0;50,5;1363,0;69,0;29;1,64;167;9,44;6;0,34;1149;64,92;3;0,17;89;5,03;146;8,25;1589;89,77;2,87;6,5;4,97;9,56;6,13;0;0,0;235;13,28
GP220711C03;C;17,7;3,02;1327,0;1333,0;6,17;36,0;0,95;20,4;36472,0;58853,0;48717,0;477,0;419,0;59,0;361,0;46,0;Trypsin 4.0;1388,0;6,17;6,04;25,9;25,9;81,0;50,0;1396,0;54,0;30;1,69;184;10,4;6;0,34;1160;65,54;5;0,28;93;5,25;145;8,19;1623;91,69;2,8;6,35;4,85;9,34;5,99;0;0,0;238;13,45
GP220712A01;A;17,5;3,02;1313,0;1312,0;6,19;24,0;0,95;20,4;36547,0;56189,0;46021,0;480,0;422,0;64,0;358,0;26,0;Trypsin 4.0;1386,0;6,17;6,04;26,0;25,8;78,0;50,0;1388,0;57,0;34;1,94;169;9,66;13;0,74;1174;67,09;5;0,29;89;5,09;145;8,29;1629;93,09;2,79;6,34;4,83;9,27;5,96;0;0,0;234;13,37
GP220712B02;B;17,6;3,02;1316,0;1292,0;6,2;24,0;0,94;20,4;34949,0;56439,0;46280,0;475,0;418,0;59,0;358,0;27,0;Trypsin 4.0;1357,0;6,17;6,02;26,1;26,1;98,0;50,5;1353,0;94,0;33;1,87;172;9,77;4;0,23;1157;65,74;3;0,17;85;4,83;139;7,9;1593;90,51;2,85;6,59;4,97;9,56;6,17;0;0,0;224;12,73
GP220712C03;C;13,2;3,04;989,0;995,0;6,23;24,0;0,92;20,5;26279,0;44847,0;34713,0;401,0;343,0;73,0;270,0;25,0;Trypsin 4.0;1049,0;6,18;6,06;26,1;26,1;83,0;50,0;1055,0;88,0;28;2,12;148;11,21;7;0,53;1173;88,86;3;0,23;48;3,64;119;9,02;1526;115,61;2,82;6,24;4,79;9,18;5,97;0;0,0;167;12,65
GP220713A01;A;13,3;3,04;1005,0;1004,0;6,19;41,0;0,93;20,5;26593,0;45162,0;35001,0;412,0;354,0;81,0;272,0;48,0;Trypsin 4.0;1072,0;6,15;6,01;25,8;26,0;81,0;50,0;1073,0;140,0;25;1,88;157;11,8;15;1,13;1048;78,8;3;0,23;53;3,98;129;9,7;1430;107,52;2,74;6,2;4,74;9,13;5,88;0;0,0;182;13,68
GP220713B02;B;13,0;3,03;976,0;950,0;6,2;42,0;0,9;20,4;25782,0;44338,0;34205,0;407,0;349,0;84,0;266,0;48,0;Trypsin 4.0;1011,0;6,14;6,01;26,1;25,9;99,0;51,0;1008,0;119,0;21;1,62;157;12,08;16;1,23;1059;81,46;4;0,31;51;3,92;113;8,69;1421;109,31;2,85;6,45;4,94;9,5;6,15;0;0,0;164;12,62
GP220713C03;C;13,4;3,03;1005,0;1013,0;6,23;42,0;0,91;20,5;26789,0;45281,0;35238,0;403,0;345,0;71,0;274,0;46,0;Trypsin 4.0;1067,0;6,16;6,04;26,1;26,1;83,0;50,0;1069,0;118,0;21;1,57;151;11,27;22;1,64;1034;77,16;3;0,22;50;3,73;120;8,96;1401;104,55;2,77;6,27;4,81;9,24;5,98;0;0,0;170;12,69
GP220714A01;A;12,8;3,03;964,0;963,0;6,19;26,0;0,92;20,5;25991,0;43829,0;33666,0;413,0;355,0;92,0;262,0;34,0;Trypsin 4.0;1032,0;6,17;6,04;25,9;26,0;81,0;50,5;1032,0;119,0;21;1,64;143;11,17;21;1,64;1121;87,58;8;0,62;48;3,75;116;9,06;1478;115,47;2,74;6,23;4,75;9,13;5,93;0;0,0;164;12,81
GP220714B02;B;17,3;3,04;1294,0;1267,0;6,21;26,0;0,93;20,4;35882,0;55635,0;45501,0;472,0;414,0;62,0;352,0;35,0;Trypsin 4.0;1335,0;6,16;6,01;26,0;25,9;99,0;50,5;1329,0;91,0;29;1,68;178;10,29;6;0,35;1078;62,31;5;0,29;100;5,78;138;7,98;1534;88,67;2,89;6,53;4,99;9,58;6,14;0;0,0;238;13,76
GP220714C03;C;17,8;3,01;1325,0;1330,0;6,2;27,0;0,95;20,4;35797,0;56998,0;46829,0;481,0;423,0;60,0;363,0;35,0;Trypsin 4.0;1385,0;6,17;6,04;26,0;25,9;81,0;50,0;1392,0;103,0;32;1,8;193;10,84;8;0,45;1117;62,75;4;0,22;88;4,94;145;8,15;1587;89,16;2,83;6,4;4,89;9,41;6,07;0;0,0;233;13,09
GP220715A02;A;17,8;3,01;1344,0;1345,0;6,19;40,0;0,94;20,4;36275,0;57000,0;46839,0;489,0;431,0;68,0;363,0;50,0;Trypsin 4.0;1419,0;6,15;6,01;25,9;25,9;77,0;50,5;1420,0;57,0;31;1,74;225;12,64;7;0,39;1203;67,58;5;0,28;92;5,17;153;8,6;1716;96,4;2,77;6,28;4,79;9,23;5,96;0;0,0;245;13,76
GP220715B01;B;13,0;3,04;974,0;955,0;6,19;40,0;0,9;20,5;25726,0;44254,0;34210,0;402,0;345,0;78,0;266,0;33,0;Trypsin 4.0;1018,0;6,15;5,99;26,1;25,9;100,0;50,5;1008,0;115,0;19;1,46;235;18,08;13;1,0;1206;92,77;5;0,38;52;4,0;160;12,31;1690;130,0;2,85;6,47;4,93;9,5;6,15;0;0,0;212;16,31
GP220715C03;C;17,7;3,02;1326,0;1331,0;6,21;40,0;0,94;20,4;34633,0;53240,0;43077,0;476,0;419,0;58,0;361,0;51,0;Trypsin 4.0;1387,0;6,16;6,01;26,0;26,0;81,0;50,0;1394,0;63,0;28;1,58;212;11,98;6;0,34;1202;67,91;5;0,28;84;4,75;154;8,7;1691;95,54;2,83;6,37;4,86;9,34;6,0;0;0,0;238;13,45
GP220716A01;A;13,0;3,02;980,0;979,0;6,2;37,0;0,93;20,5;26258,0;44269,0;34109,0;414,0;357,0;91,0;266,0;46,0;Trypsin 4.0;1048,0;6,14;6,0;25,8;25,9;80,0;50,0;1046,0;124,0;21;1,62;204;15,69;18;1,38;1059;81,46;4;0,31;51;3,92;126;9,69;1483;114,08;2,75;6,2;4,75;9,14;5,94;0;0,0;177;13,62
GP220716B02;B;17,8;3,02;1330,0;1300,0;6,22;37,0;0,94;20,4;36185,0;56849,0;46808,0;480,0;421,0;58,0;363,0;54,0;Trypsin 4.0;1366,0;6,18;6,03;26,0;26,0;99,0;50,5;1363,0;110,0;37;2,08;198;11,12;6;0,34;1632;91,69;3;0,17;88;4,94;138;7,75;2102;118,09;2,88;6,53;4,99;9,61;6,19;0;0,0;226;12,7
GP220716C03;C;17,9;3,01;1338,0;1341,0;6,16;37,0;0,95;20,4;35315,0;57195,0;47065,0;480,0;422,0;58,0;365,0;52,0;Trypsin 4.0;1394,0;6,15;6,0;25,9;26,0;81,0;50,0;1404,0;112,0;28;1,56;203;11,34;6;0,34;1359;75,92;3;0,17;88;4,92;153;8,55;1840;102,79;2,82;6,37;4,88;9,37;6,02;0;0,0;241;13,46
GP220717A01;A;13,2;3,03;998,0;993,0;6,18;58,0;0,94;20,5;26622,0;44761,0;34627,0;413,0;355,0;84,0;271,0;28,0;Trypsin 4.0;1063,0;6,16;6,03;26,0;25,9;81,0;50,0;1064,0;125,0;25;1,89;231;17,5;48;3,64;1142;86,52;4;0,3;53;4,02;119;9,02;1622;122,88;2,73;6,21;4,75;9,13;5,92;0;0,0;172;13,03
GP220717B02;B;17,5;3,04;1308,0;1274,0;6,19;39,0;0,94;20,4;36148,0;56103,0;45935,0;478,0;420,0;63,0;357,0;46,0;Trypsin 4.0;1340,0;6,16;6,01;25,9;26,0;100,0;50,5;1340,0;118,0;31;1,77;235;13,43;33;1,89;1142;65,26;3;0,17;90;5,14;136;7,77;1670;95,43;2,87;6,55;4,99;9,61;6,16;0;0,0;226;12,91
GP220717C03;C;17,9;3,03;1340,0;1342,0;6,16;39,0;0,94;20,4;35576,0;57036,0;46995,0;479,0;421,0;56,0;365,0;46,0;Trypsin 4.0;1396,0;6,14;6,0;26,1;25,9;81,0;50,0;1407,0;77,0;29;1,62;230;12,85;32;1,79;1144;63,91;3;0,17;84;4,69;150;8,38;1672;93,41;2,82;6,36;4,87;9,36;6,01;0;0,0;234;13,07
GP220718A01;A;13,0;3,02;979,0;983,0;6,22;41,0;0,94;20,5;26224,0;44292,0;34162,0;406,0;348,0;82,0;266,0;50,0;Trypsin 4.0;1054,0;6,15;6,04;26,0;26,0;81,0;50,0;1051,0;125,0;25;1,92;320;24,62;34;2,62;1093;84,08;4;0,31;51;3,92;120;9,23;1647;126,69;2,74;6,19;4,73;9,1;5,91;0;0,0;171;13,15
GP220718B02;B;17,7;3,02;1317,0;1298,0;6,22;41,0;0,94;20,4;36166,0;56722,0;46554,0;482,0;424,0;63,0;361,0;58,0;Trypsin 4.0;1366,0;6,17;6,03;25,9;26,1;100,0;50,5;1361,0;64,0;29;1,64;314;17,74;29;1,64;1537;86,84;3;0,17;87;4,92;138;7,8;2137;120,73;2,87;6,51;4,98;9,58;6,14;0;0,0;225;12,71
GP220718C03;C;18,1;3,03;1350,0;1362,0;6,16;42,0;0,95;20,3;36204,0;57657,0;47613,0;484,0;427,0;58,0;368,0;56,0;Trypsin 4.0;1421,0;6,16;6,01;25,9;25,9;82,0;50,0;1430,0;121,0;34;1,88;277;15,3;14;0,77;1538;84,97;3;0,17;92;5,08;155;8,56;2113;116,74;2,8;6,33;4,84;9,32;5,98;0;0,0;247;13,65
GP220719A01;A;12,9;3,02;972,0;973,0;6,19;14,0;0,93;20,5;26253,0;44068,0;33932,0;410,0;353,0;88,0;265,0;24,0;Trypsin 4.0;1047,0;6,17;6,05;25,8;25,9;81,0;50,5;1046,0;;26;2,02;208;16,12;14;1,09;1194;92,56;3;0,23;51;3,95;121;9,38;1617;125,35;2,74;6,2;4,72;9,07;5,85;0;0,0;172;13,33
GP220719B02;B;17,9;3,04;1335,0;1317,0;6,23;12,0;0,94;20,4;35996,0;57259,0;47091,0;484,0;426,0;61,0;365,0;27,0;Trypsin 4.0;1387,0;6,16;6,01;26,0;26,1;103,0;50,5;1384,0;;27;1,51;200;11,17;8;0,45;1404;78,44;3;0,17;91;5,08;146;8,16;1879;104,97;2,85;6,47;4,95;9,51;6,11;0;0,0;237;13,24
GP220719C03;C;17,7;3,03;1319,0;1333,0;6,2;24,0;0,94;20,4;34642,0;56683,0;46547,0;467,0;409,0;48,0;362,0;43,0;Trypsin 4.0;1389,0;6,17;6,01;26,1;25,9;80,0;50,0;1398,0;;31;1,75;196;11,07;9;0,51;1653;93,39;3;0,17;85;4,8;153;8,64;2130;120,34;2,79;6,38;4,84;9,32;5,99;0;0,0;238;13,45
GP220720A01;A;12,9;3,02;970,0;909,0;6,21;26,0;0,9;20,5;24589,0;44091,0;33924,0;413,0;355,0;89,0;265,0;25,0;Trypsin 4.0;974,0;6,16;6,06;26,0;26,1;81,0;50,0;974,0;;23;1,78;211;16,36;28;2,17;1172;90,85;4;0,31;46;3,57;116;8,99;1600;124,03;2,92;6,62;5,07;9,74;6,26;0;0,0;162;12,56
GP220720B02;B;17,6;3,02;1314,0;1283,0;6,19;50,0;0,93;20,4;35293,0;56336,0;46294,0;479,0;420,0;61,0;359,0;46,0;Trypsin 4.0;1350,0;6,15;6,03;26,1;26,0;103,0;50,5;1346,0;;27;1,53;236;13,41;12;0,68;1324;75,23;3;0,17;85;4,83;131;7,44;1818;103,3;2,9;6,53;5,0;9,61;6,2;0;0,0;216;12,27
GP220720C03;C;17,7;3,03;1318,0;1325,0;6,21;46,0;0,94;20,4;34639,0;56700,0;46566,0;472,0;414,0;52,0;362,0;48,0;Trypsin 4.0;1378,0;6,15;5,99;26,0;25,9;81,0;50,5;1388,0;;28;1,58;233;13,16;12;0,68;1562;88,25;3;0,17;84;4,75;156;8,81;2078;117,4;2,83;6,39;4,87;9,39;6,03;0;0,0;240;13,56
GP220721A01;A;13,0;3,02;978,0;974,0;6,21;25,0;0,92;20,5;25773,0;44329,0;34195,0;411,0;353,0;86,0;267,0;31,0;Trypsin 4.0;1043,0;6,14;6,01;26,1;25,8;80,0;50,0;1042,0;;20;1,54;209;16,08;31;2,38;1092;84,0;3;0,23;49;3,77;118;9,08;1522;117,08;2,75;6,24;4,78;9,17;5,96;0;0,0;167;12,85
GP220721B02;B;17,9;3,02;1337,0;1305,0;6,2;49,0;0,94;20,4;36017,0;57240,0;47078,0;484,0;425,0;60,0;365,0;50,0;Trypsin 4.0;1371,0;6,17;6,03;26,0;26,1;103,0;50,5;1371,0;;37;2,07;213;11,9;12;0,67;1267;70,78;3;0,17;83;4,64;136;7,6;1751;97,82;2,9;6,55;5,0;9,6;6,16;0;0,0;219;12,23
GP220721C03;C;17,8;3,03;1328,0;1338,0;6,19;49,0;0,94;20,4;34807,0;56987,0;46817,0;479,0;421,0;59,0;362,0;58,0;Trypsin 4.0;1391,0;6,14;5,97;26,1;26,1;81,0;50,5;1398,0;;28;1,57;210;11,8;24;1,35;1741;97,81;4;0,22;84;4,72;156;8,76;2247;126,24;2,82;6,35;4,87;9,38;6,05;0;0,0;240;13,48
GP220722A01;A;14,9;3,01;1122,0;1122,0;6,23;35,0;0,93;20,5;29367,0;49347,0;39185,0;429,0;370,0;64,0;306,0;41,0;Trypsin 3.0;1191,0;6,13;6,0;26,0;25,9;80,0;50,5;1189,0;;27;1,81;175;11,74;24;1,61;1051;70,54;3;0,2;62;4,16;133;8,93;1475;98,99;2,78;6,3;4,8;9,22;5,93;0;0,0;195;13,09
GP220722C02;C;15,0;3,04;1122,0;1131,0;6,25;37,0;0,94;20,5;29078,0;49497,0;39363,0;424,0;365,0;58,0;307,0;43,0;Trypsin 3.0;1183,0;6,14;5,99;26,0;26,1;83,0;50,0;1190,0;;23;1,53;178;11,87;35;2,33;1244;82,93;3;0,2;63;4,2;137;9,13;1683;112,2;2,79;6,33;4,82;9,28;6,0;0;0,0;200;13,33
GP220723B01;B;18,5;3,02;1371,0;1339,0;6,21;8,0;0,94;20,4;36034,0;58798,0;48663,0;495,0;437,0;59,0;377,0;108,0;Trypsin 3.0;1411,0;6,16;5,99;26,1;26,0;102,0;51,0;1402,0;;29;1,57;199;10,76;12;0,65;1304;70,49;3;0,16;91;4,92;139;7,51;1777;96,05;2,92;6,6;5,05;9,71;6,22;0;0,0;230;12,43
GP220723C02;C;14,4;3,03;1068,0;1078,0;6,2;28,0;0,9;20,5;27449,0;48062,0;37901,0;412,0;354,0;59,0;295,0;38,0;Trypsin 3.0;1130,0;6,16;6,01;25,9;26,0;83,0;50,5;1135,0;;27;1,88;190;13,19;9;0,62;1087;75,49;4;0,28;56;3,89;129;8,96;1502;104,31;2,8;6,35;4,85;9,34;6,04;0;0,0;185;12,85
GP220724A01;A;16,4;3,02;1236,0;1234,0;6,19;31,0;0,94;20,5;32984,0;53224,0;43090,0;457,0;398,0;62,0;337,0;40,0;Trypsin 3.0;1305,0;6,14;5,98;25,9;26,2;78,0;50,0;1306,0;29,33;24;1,46;159;9,7;5;0,3;1148;70,0;3;0,18;77;4,7;140;8,54;1556;94,88;2,76;6,29;4,81;9,24;5,98;35;2,13;217;13,23
GP220724C02;C;16,4;3,02;1228,0;1240,0;6,22;32,0;0,94;20,5;31788,0;53336,0;43174,0;451,0;392,0;57,0;335,0;44,0;Trypsin 3.0;1296,0;6,17;6,03;26,0;25,9;81,0;50,5;1301,0;114,5;31;1,89;159;9,7;3;0,18;1359;82,87;3;0,18;71;4,33;139;8,48;1765;107,62;2,78;6,31;4,82;9,27;6,0;34;2,07;210;12,8
GP220725B01;B;15,2;3,03;1137,0;1108,0;6,17;10,0;0,93;20,5;29148,0;50140,0;39982,0;430,0;372,0;60,0;311,0;124,0;Trypsin 3.0;1172,0;6,17;6,04;26,0;26,1;103,0;51,0;1169,0;64,5;25;1,64;182;11,97;24;1,58;1165;76,64;3;0,2;65;4,28;121;7,96;1585;104,28;2,86;6,51;4,97;9,57;6,18;34;2,24;186;12,24
GP220725C02;C;15,2;3,02;1135,0;1127,0;6,22;47,0;0,94;20,5;29193,0;50096,0;39932,0;427,0;369,0;58,0;311,0;61,0;Trypsin 3.0;1180,0;6,14;6,01;26,1;26,1;84,0;50,0;1186,0;92,0;25;1,64;172;11,32;20;1,32;1407;92,57;2;0,13;64;4,21;134;8,82;1824;120,0;2,83;6,42;4,92;9,43;6,1;35;2,3;198;13,03
GP220726A01;A;10,1;3,02;760,0;744,0;6,24;31,0;0,89;20,9;20031,0;36674,0;26539,0;409,0;351,0;140,0;211,0;114,0;Trypsin 3.0;808,0;6,14;6,02;26,0;25,9;79,0;50,5;812,0;75,0;14;1,39;128;12,67;8;0,79;1095;108,42;3;0,3;32;3,17;97;9,6;1377;136,34;2,75;6,22;4,76;9,15;5,91;22;2,18;129;12,77
GP220726B02;B;11,7;3,04;875,0;856,0;6,2;22,0;0,92;20,7;22978,0;40896,0;30734,0;404,0;345,0;103,0;243,0;30,0;Trypsin 3.0;918,0;6,18;6,07;26,0;26,0;103,0;50,5;912,0;83,5;19;1,62;136;11,62;5;0,43;1256;107,35;3;0,26;42;3,59;100;8,55;1561;133,42;2,82;6,38;4,91;9,44;6,08;24;2,05;142;12,14
GP220726C03;C;10,7;3,03;796,0;812,0;6,21;22,0;0,88;20,7;21339,0;38263,0;28128,0;404,0;346,0;125,0;221,0;32,0;Trypsin 3.0;861,0;6,12;5,99;25,8;26,1;82,0;50,0;866,0;78,33;10;0,93;143;13,36;9;0,84;1409;131,68;3;0,28;37;3,46;105;9,81;1716;160,37;2,75;6,2;4,74;9,11;5,87;24;2,24;142;13,27
GP220727A01;A;10,1;3,02;768,0;764,0;6,19;21,0;0,88;20,9;20501,0;36728,0;26567,0;408,0;350,0;139,0;211,0;30,0;Trypsin 3.0;829,0;6,13;6,03;26,1;25,9;79,0;50,5;833,0;64,33;14;1,39;252;24,95;8;0,79;1170;115,84;3;0,3;32;3,17;96;9,5;1575;155,94;2,66;6,04;4,64;8,94;5,77;24;2,38;128;12,67
GP220727B02;B;11,5;3,01;866,0;848,0;6,21;21,0;0,92;20,7;22866,0;40291,0;30248,0;406,0;348,0;110,0;238,0;31,0;Trypsin 3.0;911,0;6,17;6,04;26,1;26,0;103,0;50,5;906,0;104,0;16;1,39;260;22,61;11;0,96;1148;99,83;4;0,35;38;3,3;97;8,43;1574;136,87;2,81;6,38;4,85;9,33;6,02;31;2,7;135;11,74
GP220727C03;C;11,1;3,04;832,0;852,0;6,19;21,0;0,9;20,7;21885,0;39362,0;29193,0;404,0;346,0;117,0;230,0;30,0;Trypsin 3.0;902,0;6,12;5,98;25,8;25,9;83,0;50,0;909,0;107,0;10;0,9;250;22,52;8;0,72;1156;104,14;3;0,27;37;3,33;107;9,64;1571;141,53;2,7;6,1;4,67;8,98;5,8;30;2,7;144;12,97
GP220728A01;A;9,9;3,01;750,0;748,0;6,2;21,0;0,86;20,9;19872,0;36203,0;26041,0;411,0;353,0;146,0;207,0;33,0;Trypsin 3.0;814,0;6,15;6,04;26,0;26,0;79,0;50,0;818,0;76,67;17;1,72;133;13,43;8;0,81;1354;136,77;4;0,4;30;3,03;95;9,6;1641;165,76;2,67;6,11;4,65;8,92;5,76;20;2,02;125;12,63
GP220728B02;B;9,8;3,04;735,0;714,0;6,24;21,0;0,79;20,8;20705,0;35842,0;25707,0;406,0;348,0;144,0;204,0;32,0;Trypsin 3.0;775,0;6,18;6,05;26,1;26,0;103,0;50,5;773,0;111,5;25;2,55;138;14,08;12;1,22;1335;136,22;3;0,31;23;2,35;119;12,14;1655;168,88;2,81;6,35;4,85;9,34;5,96;21;2,14;142;14,49
GP220728C03;C;11,2;3,04;841,0;854,0;6,16;21,0;0,88;20,7;22440,0;39593,0;29424,0;403,0;345,0;114,0;232,0;31,0;Trypsin 3.0;904,0;6,15;6,02;25,9;26,0;83,0;50,0;911,0;142,5;13;1,16;146;13,04;14;1,25;1333;119,02;4;0,36;34;3,04;103;9,2;1647;147,05;2,71;6,18;4,71;9,05;5,79;24;2,14;137;12,23
GP220729A01;A;11,9;3,04;894,0;893,0;6,21;16,0;0,9;20,8;23912,0;41476,0;31313,0;414,0;355,0;108,0;248,0;23,0;Trypsin 3.0;960,0;6,16;6,05;25,9;25,8;80,0;50,0;961,0;152,0;20;1,68;158;13,28;10;0,84;1086;91,26;3;0,25;43;3,61;111;9,33;1431;120,25;2,72;6,21;4,73;9,12;5,88;41;3,45;154;12,94
GP220729B02;B;10,0;3,04;750,0;730,0;6,19;16,0;0,84;20,8;20210,0;36474,0;26312,0;403,0;345,0;137,0;208,0;25,0;Trypsin 3.0;794,0;6,17;6,04;26,1;26,1;103,0;50,5;791,0;133,5;25;2,5;152;15,2;8;0,8;1181;118,1;3;0,3;31;3,1;88;8,8;1488;148,8;2,78;6,32;4,84;9,3;5,95;26;2,6;119;11,9
GP220729C03;C;9,9;3,03;743,0;755,0;6,22;16,0;0,85;20,7;19668,0;36221,0;26053,0;405,0;346,0;141,0;205,0;22,0;Trypsin 3.0;805,0;6,13;6,01;25,8;26,0;83,0;50,0;816,0;104,0;9;0,91;139;14,04;11;1,11;1073;108,38;3;0,3;28;2,83;97;9,8;1360;137,37;2,67;6,14;4,66;8,96;5,77;27;2,73;125;12,63
GP220730A01;A;11,1;3,03;840,0;830,0;6,21;15,0;0,9;20,8;22544,0;39375,0;29213,0;409,0;350,0;119,0;231,0;24,0;Trypsin 3.0;899,0;6,13;6,05;26,1;26,2;79,0;50,0;904,0;98,5;14;1,26;251;22,61;44;3,96;1120;100,9;3;0,27;37;3,33;96;8,65;1565;140,99;2,75;6,15;4,68;9,02;5,83;34;3,06;133;11,98
GP220730B02;B;10,1;3,04;761,0;740,0;6,21;15,0;0,84;20,8;19755,0;36780,0;26646,0;406,0;347,0;137,0;210,0;25,0;Trypsin 3.0;800,0;6,16;6,01;25,9;26,1;102,0;50,5;799,0;83,0;23;2,28;259;25,64;26;2,57;1121;110,99;3;0,3;32;3,17;91;9,01;1555;153,96;2,78;6,3;4,85;9,32;6,0;27;2,67;123;12,18
GP220730C03;C;8,4;3,04;633,0;644,0;6,24;15,0;0,85;20,9;16780,0;32330,0;22162,0;402,0;344,0;168,0;175,0;24,0;Trypsin 3.0;690,0;6,17;6,06;26,0;25,9;83,0;50,0;704,0;57,33;20;2,38;239;28,45;45;5,36;1124;133,81;3;0,36;20;2,38;91;10,83;1542;183,57;2,62;5,96;4,58;8,8;5,63;23;2,74;111;13,21
