BatchID;Strasse;Gesamtmenge Wirkstoff in kg;pH - Wert nach beendeter Regelung;Füllstand B4210 nach pH - Wert - Einstellung in L;Füllstand B4220 nach Transfer Lösung in L;pH - Wert nach beendeter Regelung Zitratpuffer;B4210 Standzeit Gereinigt in h;Druck während Isolierung in bar;Waschvolumen Zitratpuffer in L/kg;Netto Masse Kristallisat ohne GWP in g;Brutto Masse Kristallisat A4920/21/28 mit GWP in g;Netto Masse Kristallisat A4920/21/28  mit GWP in g;Füllstand B4210 vor Spülung in L;Füllstand B4210 nach Spülung in L;Füllstand B4210 nach Zitratwäsche in L;eingesetztes Waschvolumen Zitratpuffer in L;F4300 Standzeit sterilisiert in h;Trypsin Klasse;Füllstand B4220 nach pH - Wert - Einstellung in L;pH - Wert B4220 Start Kristallisation;pH - Wert B4220 Ende Kristallisation;Temperatur B4220 Start Kristallisation in °C;Temperatur B4220 Ende Kristallisation in °C;Mittelwert UV - Kurve;Rührerdrehzahl B4220 in U/min;Füllstand B4220 Ende Kristallisation in L;Filtrationsverhalten;pH-Wert Regelung Dauer [min];pH-Wert Regelung Dauer [min/kg];Dauer Lösen [min];Dauer Lösen [min/kg];Dauer bis Kristallisation einsetzt [min];Dauer bis Kristallisation einsetzt [min/kg];Kristallisation Dauer [min];Kristallisation Dauer [min/kg];Verweildauer kristallisiert bis Start Abtrennung [min];Verweildauer kristallisiert bis Start Abtrennung [min/kg];Abtrenndauer ohne Nachwaschen [min];Abtrenndauer ohne Nachwaschen [min/kg];Waschdauer mit Zitratpuffer [min];Waschdauer mit Zitratpuffer [min/kg];Gesamtdauer Start Lösen - Ende Waschen [min];Gesamtdauer Start Lösen - Ende Waschen [min/kg];ZnCl2 Konzentration [mM/L];NaCl Konzentration [mM/L];CTS Konzentration [mM/L];Ammoniumsulfat Konzentrazion [mM/L];Propanol-Konzentration in %;Produktüberführen Dauer [min];Produktüberführen Dauer [min/kg];Gesamte Abtrenndauer [min];Gesamte Abtrenndauer [min/kg]
GP220697C03;C;13,7;3,02;1057,0;1060,0;6,2;15,0;0,91;20,5;26488,0;46163,0;36031,0;419,0;361,0;80,0;281,0;24,0;Trypsin 4.0;1112,0;6,15;5,96;26,0;26,0;83,0;50,0;1118,0;140,0;25;1,82;203;14,82;5;0,36;1129;82,41;3;0,22;56;4,09;120;8,76;1541;112,48;2,71;6,14;4,69;9,04;5,81;0;0,0;176;12,85
GP220698A01;A;18,2;3,04;1358,0;1354,0;6,24;31,0;0,94;20,4;36124,0;58111,0;47950,0;495,0;438,0;68,0;371,0;25,0;Trypsin 4.0;1424,0;6,16;6,0;25,9;26,1;77,0;50,5;1428,0;99,0;32;1,76;186;10,22;47;2,58;1166;64,07;4;0,22;95;5,22;151;8,3;1681;92,36;2,82;6,37;4,88;9,37;6,05;0;0,0;246;13,52
GP220698B02;B;18,1;3,04;1345,0;1330,0;6,2;31,0;0,94;20,4;38028,0;57824,0;47690,0;487,0;428,0;59,0;369,0;40,0;Trypsin 4.0;1396,0;6,11;5,95;26,1;26,0;94,0;50,5;1394,0;115,0;24;1,33;184;10,17;56;3,09;1164;64,31;3;0,17;96;5,3;135;7,46;1662;91,82;2,88;6,52;4,97;9,55;6,13;0;0,0;231;12,76
GP220698C03;C;13,9;3,02;1063,0;1065,0;6,17;31,0;0,91;20,5;27231,0;46800,0;36616,0;423,0;364,0;79,0;285,0;38,0;Trypsin 4.0;1115,0;6,12;5,95;26,1;25,9;85,0;50,0;1124,0;140,0;25;1,8;174;12,52;67;4,82;1158;83,31;4;0,29;60;4,32;123;8,85;1611;115,9;2,73;6,23;4,74;9,09;5,86;0;0,0;183;13,17
GP220699A01;A;18,1;3,03;1348,0;1342,0;6,21;22,0;0,94;20,4;36262,0;57742,0;47609,0;493,0;436,0;67,0;369,0;28,0;Trypsin 4.0;1415,0;6,16;6,02;25,8;25,9;78,0;50,5;1418,0;75,33;28;1,55;235;12,98;7;0,39;1227;67,79;4;0,22;93;5,14;155;8,56;1749;96,63;2,82;6,4;4,88;9,39;6,03;0;0,0;248;13,7
GP220699B02;B;18,2;3,03;1355,0;1341,0;6,22;22,0;0,93;20,4;38362,0;58035,0;47875,0;486,0;427,0;56,0;372,0;29,0;Trypsin 4.0;1411,0;6,17;6,07;25,9;26,0;95,0;50,5;1405,0;116,0;25;1,37;235;12,91;5;0,27;1309;71,92;4;0,22;93;5,11;124;6,81;1795;98,63;2,87;6,49;4,97;9,54;6,15;0;0,0;217;11,92
GP220699C03;C;13,7;3,02;1056,0;1057,0;6,18;22,0;0,91;20,5;27050,0;46221,0;36037,0;422,0;363,0;82,0;281,0;27,0;Trypsin 4.0;1113,0;6,19;6,08;25,9;26,1;84,0;50,0;1119,0;143,0;29;2,12;208;15,18;7;0,51;1253;91,46;2;0,15;52;3,8;110;8,03;1661;121,24;2,73;6,16;4,68;9,02;5,81;0;0,0;162;11,82
GP220700A01;A;18,3;3,04;1367,0;1361,0;6,23;15,0;0,94;20,4;36557,0;58226,0;48059,0;496,0;438,0;65,0;373,0;26,0;Trypsin 4.0;1436,0;6,15;6,02;26,1;25,8;78,0;50,0;1436,0;99,0;28;1,53;235;12,84;37;2,02;1125;61,48;4;0,22;95;5,19;152;8,31;1676;91,58;2,82;6,4;4,88;9,38;6,02;0;0,0;247;13,5
GP220700B02;B;18,0;3,03;1345,0;1333,0;6,19;15,0;0,93;20,3;37610,0;57455,0;47321,0;483,0;427,0;62,0;366,0;26,0;Trypsin 4.0;1402,0;6,14;6,0;26,0;26,1;96,0;50,5;1393,0;113,5;23;1,28;240;13,33;33;1,83;1149;63,83;4;0,22;98;5,44;139;7,72;1686;93,67;2,85;6,45;4,94;9,5;6,13;0;0,0;237;13,17
GP220700C03;C;13,4;3,02;1022,0;1020,0;6,22;16,0;0,92;20,5;26493,0;45375,0;35209,0;425,0;366,0;91,0;275,0;24,0;Trypsin 4.0;1075,0;6,15;6,01;25,9;25,9;86,0;50,0;1081,0;142,0;27;2,01;188;14,03;50;3,73;1083;80,82;3;0,22;53;3,96;116;8,66;1520;113,43;2,75;6,21;4,74;9,11;5,92;0;0,0;169;12,61
